You are now connected to database "topmodelsql" as user "kylemcphail".
CREATE TABLE
INSERT 0 214
CREATE TABLE
INSERT 0 35
CREATE TABLE
"this table"
INSERT 0 228
 model_id |      model_name      |    area     | price_per_event |  category   |   agent   |                trait                 | rating | next_event_date | revenue 
----------+----------------------+-------------+-----------------+-------------+-----------+--------------------------------------+--------+-----------------+---------
        1 | Bartholomew P        | Milan       |          499.99 | Fashion     | Verity    | Pro strutter                         |      7 | 2022-11-15      | 2999.94
        2 | Notso Neat           | Online      |            9.99 | Promotional | Alex      | The dadbod drop                      |      1 | 2022-09-12      |  149.85
        3 | Jarred MacKenzie     | Los Angeles |             170 | Fitness     | Paul      | Fire_eating                          |      4 | 2022-01-08      |    1530
        4 | Rathbones Arr        | London      |          263.82 | Parts       | Kev       | Hand modelling                       |      5 | 2022-03-06      | 1846.74
        5 | Sarah B              | Online      |          432.25 | Promotional | Alex      | Influencer                           |      7 | 2022-10-23      |    3458
        6 | Cat Wang             | Milan       |             600 | Fashion     | Verity    | Catwalker                            |      8 | 2022-05-14      |    3600
        7 | Starr Schema         | Crewe       |             250 | Glamour     | Rose      | Databases                            |      5 | 2022-09-12      |    1500
        8 | Sam Pagne            | Athens      |          899.99 | Swimsuit    | Katherine | Old-money                            |      9 | 2022-01-20      | 9899.89
        9 | Salle De Bain        | Stockholm   |             150 | Commercial  | Christian | Architect                            |      3 | 2022-07-16      |    1050
       10 | Slam Dunk            | Los Angeles |          801.65 | Fitness     | Paul      | High-tops                            |      9 | 2022-08-23      | 7214.85
       11 | Hannah Bee           | Milan       |             325 | Fashion     | Verity    | Photography                          |      6 | 2022-03-01      |    1625
       12 | Rainsface W          | Athens      |             120 | Swimsuit    | Katherine | Impromptu crying                     |      3 | 2022-05-14      |     480
       13 | Raul Pogerson        | Stockholm   |              50 | Commercial  | Christian | Messy eating                         |      2 | 2022-09-12      |     950
       14 | Ray Z                | London      |          470.68 | Parts       | Kev       | Card magic                           |      7 | 2022-04-18      | 5177.48
       15 | Pat Munns            | Online      |          737.96 | Fashion     | Verity    | Super Slow Motion                    |      9 | 2022-05-07      | 2530.35
       16 | Kasper Topling       | Los Angeles |          905.77 | Commercial  | Kev       | Invisible Burping                    |      8 | 2022-09-25      | 5981.72
       17 | Ulrika MacGarvey     | London      |          142.15 | Parts       | Christian | Telepathic Yawn                      |      5 | 2022-04-25      | 7012.22
       18 | Gerrard Scorthorne   | Athens      |          377.39 | Parts       | Katherine | handstands                           |      4 | 2024-03-09      | 8900.56
       19 | Haskel McKinless     | Online      |          146.77 | Parts       | Verity    | Incredible Juggling Skills           |      2 | 2022-10-10      | 8915.73
       20 | Gwenni Dubarry       | Los Angeles |            73.5 | Promotional | Paul      | Incredible Nose Hair Growth          |     10 | 2022-08-30      | 7029.15
       21 | Booth Innocenti      | Athens      |           622.6 | Parts       | Verity    | Incredible Juggling Skills           |     10 | 2022-03-09      | 6664.83
       22 | Bess Wildman         | Athens      |          105.66 | Parts       | Paul      | Superhuman Lip Syncing               |      1 | 2023-06-25      | 7338.05
       23 | Miles Newgrosh       | Milan       |          968.73 | Glamour     | Rose      | Extreme Paper Cut                    |      3 | 2025-06-30      | 3676.74
       24 | Lynea Van den Bosch  | London      |          800.24 | Promotional | Paul      | Super Slow Motion                    |      6 | 2024-05-28      | 5921.78
       25 | Melantha Trowell     | Stockholm   |          677.72 | Fitness     | Christian | Unlimited Laughter Generation        |      2 | 2022-08-02      | 5420.18
